0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.1412,-0.0635,-0.0287,0.1904,0.0512,0,0.2088,0.1842,-0.0798
0.9035,0.6527,1.276,0.7707,0.2323,0.3393,0,0.4499,0,0.4499
1.571,1.3018,0.0111,1.571,1.0068,1.4014,0.933,1.4862,0.3135,1.571
1.2538,0.8187,0.0221,0.981,0.4167,0.5163,0.6269,0.8187,0.6159,0.8334
0,0.1412,0,-0.0287,0.1371,-0.043,0,0.2108,-0.1945,-0.1965
0.9994,1.0141,1.3202,1.0178,0.3983,1.1801,0,0.7117,0.1217,1.2649
1.571,1.3977,0.0148,1.571,0.9109,1.4382,0.8924,1.5304,1.1174,1.571
1.1764,0.8445,0.0184,1.1948,0.5126,0.9146,0.8814,0.8445,0.6896,0.9551
0,0.1412,0.0532,-0.0287,0.0225,-0.0983,0,0.1638,-0.2436,-0.1904
1.099,1.287,1.2907,1.2354,0.5052,1.2797,0,0.9478,0.3208,1.4419
1.5157,1.4899,0.0221,1.571,0.7671,1.4346,0.9035,1.5599,1.3055,1.571
1.1838,0.6195,0.0221,1.2797,0.4831,0.9219,0.6638,0.6195,0.6454,0.8777
0,0.0698,0,0.0698,0,0.0349,0,0.0698,0.0698,0.05
0,0.1412,0.1146,-0.0287,-0.0798,-0.2252,0,0,-0.2989,-0.1924
1.1948,1.571,1.2243,1.4124,0.5532,1.4124,0,1.1432,0.4979,1.571
1.4272,1.571,0.0369,1.571,0.6232,1.4161,0.8113,1.571,1.571,1.571
1.4014,0.3872,0.0369,1.4567,0.5458,0.9072,0.5642,0.3872,0.6159,0.8261
-0.1081,0.3146,0.6144,0.5358,0.1573,0.2654,0.1032,0.3146,0.3834,0.3588
0.3288,0.6299,1.1738,0.6975,0.9864,0.8757,0.9618,0.6115,0.6576,0.7528
0,0,0.0012,0.0062,0.2005,0.1402,0.262,0,-0.059,-0.2386
0.524,0.3543,0.0664,0.401,0.3395,0.3985,0.2558,0.3543,0.2928,0.4723
0.5347,0.5937,0,0.1955,0.3614,0.3098,0.6195,0.4831,0.1254,0
