-4.7333e-17,4.5156e-17,8.366e-17,2.3828e-17,-2.4365e-16,-1.8029e-16,-2.8406e-17,4.602e-16,3.3791e-16
1.4317e-17,2.7447e-17,1.1418e-16,-5.7645e-17,-1.2471e-16,3.3181e-17,2.2736e-16,-1.6038e-17,5.1785e-16
-0.0040998,-0.057856,-0.12465,-0.11324,0.064585,0.012021,0.25146,0.47,0.082549
-0.0053893,0.38906,0.31901,-0.031645,0.49828,0.1443,-0.1187,0.12835,-0.33169
0.40143,-0.013486,0.22828,-0.44123,-0.46261,0.042495,-0.36465,0.14094,-0.077013
0.23692,-0.087803,0.15851,-0.041848,0.36733,-0.11194,-0.37833,-0.067107,0.26629
-0.0082058,0.0054953,0.037769,-0.31141,0.052543,0.19488,0.1353,0.34821,-0.10496
0.12097,0.49775,0.05421,0.025718,-0.15307,-0.2173,0.10559,-0.23808,-0.38358
0.38472,-0.11421,-0.12523,-0.079519,-0.079576,-0.054592,-0.014373,0.22372,-0.08363
0.24921,-0.12295,0.15649,0.032147,0.00075064,0.16421,-0.046423,-0.4325,-0.072166
-0.010546,0.032826,0.057388,-0.2931,0.11283,0.2286,0.028678,0.10513,-0.15902
0.17491,0.49138,-0.073273,-0.0031473,-0.081489,-0.075604,0.076133,-0.017508,0.086953
0.38545,-0.12814,-0.26353,-0.013044,0.06137,0.03895,0.040472,-0.042247,-0.16835
0.25523,-0.08005,0.26234,0.24278,-0.045458,0.1727,0.14609,-0.10339,-0.034288
0.013909,0.00029282,-0.054173,0.0088456,0.018577,0.084492,-0.010112,0.016872,0.020473
-0.023106,0.060824,0.11504,-0.2363,0.19675,0.2435,-0.11854,-0.1819,0.40278
0.23385,0.48217,-0.20071,-0.041505,-0.0047238,0.045514,0.19737,0.046706,0.50801
0.38471,-0.13197,-0.45891,0.11716,0.23539,0.11891,0.13689,-0.12726,-0.11707
0.26994,-0.063532,0.5128,0.46748,-0.030115,0.0946,0.25307,0.26438,0.16662
-0.04468,0.12224,-0.20861,0.18465,-0.034617,0.71035,-0.21375,0.065842,-0.026835
-0.15206,0.04877,0.0047137,0.019243,-0.44405,0.28685,-0.011356,-0.18166,0.15864
-0.043588,-0.071867,0.14135,-0.13182,-0.1261,0.17939,0.46689,-0.03396,-0.12116
0.092456,-0.021708,0.037953,-0.0010526,-0.043737,-0.22137,-0.02043,0.13169,0.23774
0.03994,-0.12448,0.13789,-0.44494,0.17117,0.024168,0.43016,-0.34914,0.11968
